Catalyst;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10
5Ni/La2O3-LOC;0.54553485;1.3722479;-0.7331474;0.4226068;-0.2922856;0.13275686;0.12698412;0.16169249;0.17647348;-0.54718775
5Ni/La2O3-PP;0.8541756;0.5491353;-0.1264081;-0.08637058;0.10820604;0.034696445;0.479931;-0.23152836;0.035291735;-0.44903412
5Ni/La2O3-TD;1.2767683;1.2197539;-0.1500399;0.4401237;-0.31898135;-0.14878163;0.3846974;0.039936516;0.000180784;-0.093854375
5Ni/MCM-22;-1.1334081;0.8678775;0.3143589;0.5762286;-0.46537378;-0.09653401;-0.10408278;0.097425774;-0.36641207;0.6652134
5Ni/MCM-41;-0.884701;0.70610845;0.7581622;0.5298097;-0.5695172;0.2513289;0.18877204;-0.021827154;-1.0151483;0.43375668
5Ni/MCM41;-3.0808163;0.9012408;0.8662307;-0.019348897;0.008065976;-0.13746725;0.107057706;0.10619317;-1.0988792;0.044148583
5Ni/MgO;-0.17894998;0.36220253;-1.1083817;0.6384994;-0.35369313;0.41538364;1.166592;0.023996344;-0.55263346;0.13973646
5Ni/SBA-15;1.3115695;0.18950582;0.20379747;-0.4211176;-0.71153903;0.17184961;0.2871192;0.003233304;-0.52690125;0.15377796
5Ni0.1Ce/MCM41;-2.8574638;0.3817624;1.5195792;-0.62631595;0.7074007;0.061179113;-0.10600781;0.368499;-1.0481926;-0.1967336
5Ni0.5Ce/MCM41;-2.814229;0.7258893;1.2265582;-0.90935636;0.95461583;0.2986206;0.028928362;0.2851725;-1.0948446;-0.20401788
5Ni0.5La/γ-Al2O3;0.015852032;1.637411;-0.16402094;-0.04792912;0.016141033;0.000373403;-0.043761265;-0.030167473;0.13031632;-0.59042305
5Ni100Al;-0.32236046;1.0882546;0.39760765;0.05361824;-1.3363442;0.3049916;0.41021115;-0.020077948;-0.5471683;-0.26852396
