Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.5,550.0,10.0,0.5,14.65,0.11,29.1,442.1,20.2,12000.0,21.5,,0.75,-0.96698284,1.0349874,-1.0671724,0.69026095,-0.68574405,0.41431585,-0.6463608,0.7492175,-0.07953104,-0.07252868
0.5,700.0,10.0,0.5,55.1,0.12,8.5,503.2,17.6,12000.0,37.7,56.5,0.8,-2.281141,-0.5158804,-0.6244973,1.0467137,-0.59336495,0.5875333,0.16970854,-0.26631898,-0.5598035,-0.52640957
0.5,650.0,10.0,0.5,55.1,0.12,8.5,503.2,17.6,12000.0,26.3,,0.84,-2.281141,-0.5158804,-0.6244973,1.0467137,-0.59336495,0.5875333,0.16970854,-0.26631898,-0.5598035,-0.52640957
0.5,600.0,10.0,0.5,55.1,0.12,8.5,503.2,17.6,12000.0,24.7,,0.75,-2.281141,-0.5158804,-0.6244973,1.0467137,-0.59336495,0.5875333,0.16970854,-0.26631898,-0.5598035,-0.52640957
0.5,550.0,10.0,0.5,55.1,0.12,8.5,503.2,17.6,12000.0,17.4,,0.68,-2.281141,-0.5158804,-0.6244973,1.0467137,-0.59336495,0.5875333,0.16970854,-0.26631898,-0.5598035,-0.52640957
0.25,800.0,10.0,20.0,25.1,0.355,125.4,780.0,8.1,48000.0,90.42,94.25,0.952,1.7832648,0.47569668,0.30501214,-0.01830667,0.3756612,0.018561322,0.09162428,0.45242253,0.20826647,-0.058222022
0.25,800.0,10.0,10.0,25.1,0.355,125.4,780.0,8.1,48000.0,89.69,95.156,0.949,1.7832648,0.47569668,0.30501214,-0.01830667,0.3756612,0.018561322,0.09162428,0.45242253,0.20826647,-0.058222022
0.25,800.0,10.0,30.0,25.1,0.355,125.4,780.0,8.1,48000.0,89.46,92.81,0.944,1.7832648,0.47569668,0.30501214,-0.01830667,0.3756612,0.018561322,0.09162428,0.45242253,0.20826647,-0.058222022
0.333,700.0,10.0,0.5,12.0,0.007,403.0,624.4,34.5,144000.0,4.4,3.0,0.0,1.2576567,0.06040885,0.75612074,0.23364228,-0.17223157,0.08894154,-0.096885964,0.08969414,-0.3639167,0.10609974
0.333,700.0,10.0,20.0,12.0,0.007,403.0,624.4,34.5,144000.0,4.0,10.0,0.0,1.2576567,0.06040885,0.75612074,0.23364228,-0.17223157,0.08894154,-0.096885964,0.08969414,-0.3639167,0.10609974
0.333,700.0,10.0,20.0,7.8,0.252,508.0,624.4,15.0,144000.0,23.0,33.0,0.643,1.3168955,0.8397644,-0.07256596,0.20834668,-0.21436223,0.32254568,0.13485135,0.052452777,-0.5442998,0.06435783
0.333,700.0,10.0,0.5,7.8,0.252,508.0,624.4,15.0,144000.0,49.0,56.0,0.732,1.3168955,0.8397644,-0.07256596,0.20834668,-0.21436223,0.32254568,0.13485135,0.052452777,-0.5442998,0.06435783
0.333,700.0,10.0,0.5,8.5,0.192,241.0,624.4,28.0,144000.0,23.0,34.0,0.55,-0.13582504,0.37099144,-0.73068315,-0.3744777,-1.385264,0.37966263,-0.43172187,0.057560906,-0.19071543,-0.054572243
